INPUT:sent1;INPUT:sent2;INPUT:premise;INPUT:question;OUTPUT:variant;HINT:text;ASSIGNMENT:assignment_id;ASSIGNMENT:task_suite_id;ASSIGNMENT:worker_id;ASSIGNMENT:status;ASSIGNMENT:started
Она взяла печенье из банки.;Она забыла печенье в духовке.;Девушка почувствовала запах горелого.;Что стало причиной этого?;1;;0000b4a8a2--5e707f1832ecfe0128be7e36;0000b4a8a2--5e707d5a1fcfde011aac092b;ba5f83f970442f4d610364e2fcb2f356;APPROVED;2020-03-17T07:41:12.367
Электричество в районе вырубилось.;Прогноз предсказывал сильный ветер.;Дерево упало на линию электропередач.;Что случилось в результате?;0;;0000b4a8a2--5e707f18e7c9100129509514;0000b4a8a2--5e707d5a1fcfde011aac092f;6827eb7a46422aa28b9273b23ac61f15;APPROVED;2020-03-17T07:41:12.537
Он наскучил публике.;Он оскорбил зрителей.;Спикер сделал ряд политически некорректных замечаний.;Что случилось в результате?;1;;0000b4a8a2--5e707f18e7c9100129509514;0000b4a8a2--5e707d5a1fcfde011aac092f;6827eb7a46422aa28b9273b23ac61f15;APPROVED;2020-03-17T07:41:12.537
Капля пота стекла по моему лицу.;Капли крови появилась на моем пальце.;Я уколол себя булавкой.;Что случилось в результате?;1;;0000b4a8a2--5e707f18e7c9100129509514;0000b4a8a2--5e707d5a1fcfde011aac092f;6827eb7a46422aa28b9273b23ac61f15;APPROVED;2020-03-17T07:41:12.537
Она была голодна.;Она была мертва.;Рыбка плавала у поверхности аквариума.;Что стало причиной этого?;1;;0000b4a8a2--5e707f18e7c9100129509514;0000b4a8a2--5e707d5a1fcfde011aac092f;6827eb7a46422aa28b9273b23ac61f15;APPROVED;2020-03-17T07:41:12.537
У него была простуда.;Он бросил курить.;Голос мужчины звучал хрипло.;Что стало причиной этого?;0;;0000b4a8a2--5e707f18e7c9100129509514;0000b4a8a2--5e707d5a1fcfde011aac092f;6827eb7a46422aa28b9273b23ac61f15;APPROVED;2020-03-17T07:41:12.537
Он долго принимал душ.;Он намылил руки с мылом.;Кожа на пальцах мальчика размокла.;Что стало причиной этого?;1;;0000b4a8a2--5e707f19c4749501278d3ad6;0000b4a8a2--5e707d5a1fcfde011aac091b;f2ca3d107543223122d74437faf968dd;APPROVED;2020-03-17T07:41:13.181
У молока был кислый вкус.;У меня во рту было сухо.;Я выплюнул молоко.;Что стало причиной этого?;0;;0000b4a8a2--5e707f19c4749501278d3ad6;0000b4a8a2--5e707d5a1fcfde011aac091b;f2ca3d107543223122d74437faf968dd;APPROVED;2020-03-17T07:41:13.181
Я приехал на работу пораньше.;Я опоздал на работу.;Я пропустил автобус.;Что случилось в результате?;1;;0000b4a8a2--5e707f19c4749501278d3ad6;0000b4a8a2--5e707d5a1fcfde011aac091b;f2ca3d107543223122d74437faf968dd;APPROVED;2020-03-17T07:41:13.181
Грузовик разогнался.;Лимузин получил повреждения.;Грузовик столкнулся с лимузином.;Что случилось в результате?;1;;0000b4a8a2--5e707f19c4749501278d3ad6;0000b4a8a2--5e707d5a1fcfde011aac091b;f2ca3d107543223122d74437faf968dd;APPROVED;2020-03-17T07:41:13.181
Они победили.; Они выбыли.;Команда фальсифицировала результаты конкурса в свою пользу.;Что случилось в результате?;0;;0000b4a8a2--5e707f19c4749501278d3ad6;0000b4a8a2--5e707d5a1fcfde011aac091b;f2ca3d107543223122d74437faf968dd;APPROVED;2020-03-17T07:41:13.181
Из отверстия вылезла мышь.;Из отверстия вырвалась пыль.;Я просверлил отверстие в стене.;Что случилось в результате?;1;;0000b4a8a2--5e707f1a1de93a011fc88271;0000b4a8a2--5e707d5a1fcfde011aac093a;a7adc9e0a778f1ea4ab5037920ce5ef1;APPROVED;2020-03-17T07:41:14.213
Её сестра была счастлива.;Её сестра получила развод.;Женщина восхищалась своей сестрой.;Что стало причиной этого?;0;;0000b4a8a2--5e707f1a1de93a011fc88271;0000b4a8a2--5e707d5a1fcfde011aac093a;a7adc9e0a778f1ea4ab5037920ce5ef1;APPROVED;2020-03-17T07:41:14.213
Я надел фартук.;Я сменил рубашку.;Я пролил вино на рубашку.;Что случилось в результате?;1;;0000b4a8a2--5e707f1a1de93a011fc88271;0000b4a8a2--5e707d5a1fcfde011aac093a;a7adc9e0a778f1ea4ab5037920ce5ef1;APPROVED;2020-03-17T07:41:14.213
Клиент копался в своём бумажнике.;Клиент передал ей деньги.;Кассирша открыла кассовый аппарат.;Что стало причиной этого?;1;;0000b4a8a2--5e707f1a1de93a011fc88271;0000b4a8a2--5e707d5a1fcfde011aac093a;a7adc9e0a778f1ea4ab5037920ce5ef1;APPROVED;2020-03-17T07:41:14.213
Люди давали ему мелочь.;Он послал толпу подальше.;Уличный музыкант привлёк толпу.;Что случилось в результате?;0;;0000b4a8a2--5e707f1a1de93a011fc88271;0000b4a8a2--5e707d5a1fcfde011aac093a;a7adc9e0a778f1ea4ab5037920ce5ef1;APPROVED;2020-03-17T07:41:14.213
Она бежала по террасе у бассейна.;Она спрыгнула с трамплина.;Девушка нырнула в бассейн.;Что стало причиной этого?;1;;0000b4a8a2--5e707f1a32ecfe0128be7e43;0000b4a8a2--5e707d5a1fcfde011aac093d;240d5b7897f98c119cd892e34295587e;APPROVED;2020-03-17T07:41:14.439
Это был день премьеры фильма.;Фильм получил плохие отзывы.;Билеты в кино были распроданы.;Что стало причиной этого?;0;;0000b4a8a2--5e707f1a32ecfe0128be7e43;0000b4a8a2--5e707d5a1fcfde011aac093d;240d5b7897f98c119cd892e34295587e;APPROVED;2020-03-17T07:41:14.439
Люди изолировали его.;Люди хвалили его.;Человек потерял вес.;Что случилось в результате?;1;;0000b4a8a2--5e707f1a32ecfe0128be7e43;0000b4a8a2--5e707d5a1fcfde011aac093d;240d5b7897f98c119cd892e34295587e;APPROVED;2020-03-17T07:41:14.439
Она писала письмо.;Она забралась вверх по верёвке.;Руки девушки покрылись волдырями.;Что стало причиной этого?;1;;0000b4a8a2--5e707f1a32ecfe0128be7e43;0000b4a8a2--5e707d5a1fcfde011aac093d;240d5b7897f98c119cd892e34295587e;APPROVED;2020-03-17T07:41:14.439
Зрители закричали в изумлении.;Акробат качнулся на трапеции.;Этот циркач жонглировал во время езды на одноколёсном велосипеде.;Что случилось в результате?;0;;0000b4a8a2--5e707f1a32ecfe0128be7e43;0000b4a8a2--5e707d5a1fcfde011aac093d;240d5b7897f98c119cd892e34295587e;APPROVED;2020-03-17T07:41:14.439
Из отверстия вылезла мышь.;Из отверстия вырвалась пыль.;Я просверлил отверстие в стене.;Что случилось в результате?;1;;0000b4a8a2--5e707f1bd4088801271a7367;0000b4a8a2--5e707d5a1fcfde011aac093a;b1a948b6b490e6f554796adfc1985357;APPROVED;2020-03-17T07:41:15.734
Её сестра была счастлива.;Её сестра получила развод.;Женщина восхищалась своей сестрой.;Что стало причиной этого?;0;;0000b4a8a2--5e707f1bd4088801271a7367;0000b4a8a2--5e707d5a1fcfde011aac093a;b1a948b6b490e6f554796adfc1985357;APPROVED;2020-03-17T07:41:15.734
Я надел фартук.;Я сменил рубашку.;Я пролил вино на рубашку.;Что случилось в результате?;1;;0000b4a8a2--5e707f1bd4088801271a7367;0000b4a8a2--5e707d5a1fcfde011aac093a;b1a948b6b490e6f554796adfc1985357;APPROVED;2020-03-17T07:41:15.734
Клиент копался в своём бумажнике.;Клиент передал ей деньги.;Кассирша открыла кассовый аппарат.;Что стало причиной этого?;1;;0000b4a8a2--5e707f1bd4088801271a7367;0000b4a8a2--5e707d5a1fcfde011aac093a;b1a948b6b490e6f554796adfc1985357;APPROVED;2020-03-17T07:41:15.734
Люди давали ему мелочь.;Он послал толпу подальше.;Уличный музыкант привлёк толпу.;Что случилось в результате?;0;;0000b4a8a2--5e707f1bd4088801271a7367;0000b4a8a2--5e707d5a1fcfde011aac093a;b1a948b6b490e6f554796adfc1985357;APPROVED;2020-03-17T07:41:15.734
Они были спелые.;Я поливала их.;Я собрала помидоры с куста.;Что стало причиной этого?;0;;0000b4a8a2--5e707f1d1b254f012a7aeace;0000b4a8a2--5e707d5a1fcfde011aac0915;225538c3efba9a65820de451b7a14c7e;APPROVED;2020-03-17T07:41:17.297
Он пригласил свою бывшую девушку на обед.;Он купил подруге конфет.;Мужчина хотел быть романтичным.;Что случилось в результате?;1;;0000b4a8a2--5e707f1d1b254f012a7aeace;0000b4a8a2--5e707d5a1fcfde011aac0915;225538c3efba9a65820de451b7a14c7e;APPROVED;2020-03-17T07:41:17.297
Я уронила градусник.;За окном становилось теплее.;Ртуть в градуснике поднялась.;Что стало причиной этого?;1;;0000b4a8a2--5e707f1d1b254f012a7aeace;0000b4a8a2--5e707d5a1fcfde011aac0915;225538c3efba9a65820de451b7a14c7e;APPROVED;2020-03-17T07:41:17.297
Крыши со зданий сорвало.;Гололёд сделал трассы опасными.;Через город прошёл торнадо.;Что случилось в результате?;0;;0000b4a8a2--5e707f1d1b254f012a7aeace;0000b4a8a2--5e707d5a1fcfde011aac0915;225538c3efba9a65820de451b7a14c7e;APPROVED;2020-03-17T07:41:17.297
Его оценки улучшились.;Он жульничал на экзамене.;Студент нанял репетитора.;Что случилось в результате?;0;;0000b4a8a2--5e707f1d1b254f012a7aeace;0000b4a8a2--5e707d5a1fcfde011aac0915;225538c3efba9a65820de451b7a14c7e;APPROVED;2020-03-17T07:41:17.297
Рыбак поймал рыбу.;Рыбак заменил приманку.;Рыба объела приманку.;Что случилось в результате?;1;;0000b4a8a2--5e707f1ee5f258012725f310;0000b4a8a2--5e707d5a1fcfde011aac0913;6c152fea2dd666f226faa73756d946ca;APPROVED;2020-03-17T07:41:18.822
У нее появился прыщ.;Она сняла брекеты.;Девочка-подросток стеснялась ходить в школу.;Что стало причиной этого?;0;;0000b4a8a2--5e707f1ee5f258012725f310;0000b4a8a2--5e707d5a1fcfde011aac0913;6c152fea2dd666f226faa73756d946ca;APPROVED;2020-03-17T07:41:18.822
Я получил хорошие новости.;Я потерял терпение.;Моё лицо сияло.;Что стало причиной этого?;0;;0000b4a8a2--5e707f1ee5f258012725f310;0000b4a8a2--5e707d5a1fcfde011aac0913;6c152fea2dd666f226faa73756d946ca;APPROVED;2020-03-17T07:41:18.822
Полотенце было мокрым.;Мои руки были мокрыми.;Я вытерла руки полотенцем.;Что стало причиной этого?;1;;0000b4a8a2--5e707f1ee5f258012725f310;0000b4a8a2--5e707d5a1fcfde011aac0913;6c152fea2dd666f226faa73756d946ca;APPROVED;2020-03-17T07:41:18.822
Стул закачался под ним.;Он разлил краску на стул.;Мужчина потерял равновесие сидя на стуле.;Что стало причиной этого?;0;;0000b4a8a2--5e707f1ee5f258012725f310;0000b4a8a2--5e707d5a1fcfde011aac0913;6c152fea2dd666f226faa73756d946ca;APPROVED;2020-03-17T07:41:18.822
Цветок закрыл лепестки.;Я уловил аромат цветка.;Я поднёс цветок к самому носу.;Что случилось в результате?;1;;0000b4a8a2--5e707f1f889638012733ca30;0000b4a8a2--5e707d5a1fcfde011aac08f9;3d912959dc0e78548eb548561b3677f8;APPROVED;2020-03-17T07:41:19.400
Она столкнулась с другом детства.;Она кричала на своих детей.;Женщина испытывала ностальгию.;Что стало причиной этого?;0;;0000b4a8a2--5e707f1f889638012733ca30;0000b4a8a2--5e707d5a1fcfde011aac08f9;3d912959dc0e78548eb548561b3677f8;APPROVED;2020-03-17T07:41:19.400
Он представил бумаги рано.;Он представил неполный комплект бумаг.;Студент тянул с бумагами.;Что случилось в результате?;1;;0000b4a8a2--5e707f1f889638012733ca30;0000b4a8a2--5e707d5a1fcfde011aac08f9;3d912959dc0e78548eb548561b3677f8;APPROVED;2020-03-17T07:41:19.400
Я пошёл в торговый центр.;Я позвонил механику.;Моя машина сломалась.;Что случилось в результате?;1;;0000b4a8a2--5e707f1f889638012733ca30;0000b4a8a2--5e707d5a1fcfde011aac08f9;3d912959dc0e78548eb548561b3677f8;APPROVED;2020-03-17T07:41:19.400
Это была анонимка.;Она была неразборчиво написана.;Я выбросил записку.;Что стало причиной этого?;1;;0000b4a8a2--5e707f1f889638012733ca30;0000b4a8a2--5e707d5a1fcfde011aac08f9;3d912959dc0e78548eb548561b3677f8;APPROVED;2020-03-17T07:41:19.400
У него были долги.;Он начал бизнес.;Человеку было отказано в кредите.;Что стало причиной этого?;0;;0000b4a8a2--5e707f1fc4749501278d3b0e;0000b4a8a2--5e707d5a1fcfde011aac08e3;7ab4d71cd7e8befcbd4a56923a7514a2;APPROVED;2020-03-17T07:41:19.670
Она переболела ветрянкой.;Ей нравилось изучать математику.;Девочку освободили от занятий в школе.;Что стало причиной этого?;0;;0000b4a8a2--5e707f1fc4749501278d3b0e;0000b4a8a2--5e707d5a1fcfde011aac08e3;7ab4d71cd7e8befcbd4a56923a7514a2;APPROVED;2020-03-17T07:41:19.670
Я отнёс его на помойку.;Я бросил его в раковину.;Мешок для мусора был полон.;Что случилось в результате?;0;;0000b4a8a2--5e707f1fc4749501278d3b0e;0000b4a8a2--5e707d5a1fcfde011aac08e3;7ab4d71cd7e8befcbd4a56923a7514a2;APPROVED;2020-03-17T07:41:19.670
Моя соседка пролила пунш.;Моя собака линяет.;Я пропылесосил ковер.;Что стало причиной этого?;1;;0000b4a8a2--5e707f1fc4749501278d3b0e;0000b4a8a2--5e707d5a1fcfde011aac08e3;7ab4d71cd7e8befcbd4a56923a7514a2;APPROVED;2020-03-17T07:41:19.670
Он выключил свой компьютер.;Он швырнул стул через всю комнату.;Мужчина потерял самообладание.;Что случилось в результате?;1;;0000b4a8a2--5e707f1fc4749501278d3b0e;0000b4a8a2--5e707d5a1fcfde011aac08e3;7ab4d71cd7e8befcbd4a56923a7514a2;APPROVED;2020-03-17T07:41:19.670
Рыбак поймал рыбу.;Рыбак заменил приманку.;Рыба объела приманку.;Что случилось в результате?;1;;0000b4a8a2--5e707f211de93a011fc882b1;0000b4a8a2--5e707d5a1fcfde011aac0913;e9651e4325b362d284c498086fe13fea;APPROVED;2020-03-17T07:41:21.839
У нее появился прыщ.;Она сняла брекеты.;Девочка-подросток стеснялась ходить в школу.;Что стало причиной этого?;0;;0000b4a8a2--5e707f211de93a011fc882b1;0000b4a8a2--5e707d5a1fcfde011aac0913;e9651e4325b362d284c498086fe13fea;APPROVED;2020-03-17T07:41:21.839
Я получил хорошие новости.;Я потерял терпение.;Моё лицо сияло.;Что стало причиной этого?;0;;0000b4a8a2--5e707f211de93a011fc882b1;0000b4a8a2--5e707d5a1fcfde011aac0913;e9651e4325b362d284c498086fe13fea;APPROVED;2020-03-17T07:41:21.839
Полотенце было мокрым.;Мои руки были мокрыми.;Я вытерла руки полотенцем.;Что стало причиной этого?;1;;0000b4a8a2--5e707f211de93a011fc882b1;0000b4a8a2--5e707d5a1fcfde011aac0913;e9651e4325b362d284c498086fe13fea;APPROVED;2020-03-17T07:41:21.839
Стул закачался под ним.;Он разлил краску на стул.;Мужчина потерял равновесие сидя на стуле.;Что стало причиной этого?;0;;0000b4a8a2--5e707f211de93a011fc882b1;0000b4a8a2--5e707d5a1fcfde011aac0913;e9651e4325b362d284c498086fe13fea;APPROVED;2020-03-17T07:41:21.839
Он долго принимал душ.;Он намылил руки с мылом.;Кожа на пальцах мальчика размокла.;Что стало причиной этого?;0;;0000b4a8a2--5e707f219df9dc0126bc620c;0000b4a8a2--5e707d5a1fcfde011aac091b;088d2727ad3a725c95674c7d6eab4fa1;APPROVED;2020-03-17T07:41:21.684
У молока был кислый вкус.;У меня во рту было сухо.;Я выплюнул молоко.;Что стало причиной этого?;0;;0000b4a8a2--5e707f219df9dc0126bc620c;0000b4a8a2--5e707d5a1fcfde011aac091b;088d2727ad3a725c95674c7d6eab4fa1;APPROVED;2020-03-17T07:41:21.684
Я приехал на работу пораньше.;Я опоздал на работу.;Я пропустил автобус.;Что случилось в результате?;1;;0000b4a8a2--5e707f219df9dc0126bc620c;0000b4a8a2--5e707d5a1fcfde011aac091b;088d2727ad3a725c95674c7d6eab4fa1;APPROVED;2020-03-17T07:41:21.684
Грузовик разогнался.;Лимузин получил повреждения.;Грузовик столкнулся с лимузином.;Что случилось в результате?;1;;0000b4a8a2--5e707f219df9dc0126bc620c;0000b4a8a2--5e707d5a1fcfde011aac091b;088d2727ad3a725c95674c7d6eab4fa1;APPROVED;2020-03-17T07:41:21.684
Они победили.; Они выбыли.;Команда фальсифицировала результаты конкурса в свою пользу.;Что случилось в результате?;1;;0000b4a8a2--5e707f219df9dc0126bc620c;0000b4a8a2--5e707d5a1fcfde011aac091b;088d2727ad3a725c95674c7d6eab4fa1;APPROVED;2020-03-17T07:41:21.684
Из отверстия вылезла мышь.;Из отверстия вырвалась пыль.;Я просверлил отверстие в стене.;Что случилось в результате?;1;;0000b4a8a2--5e707f22889638012733ca56;0000b4a8a2--5e707d5a1fcfde011aac093a;0911cb7c42db62f52ac88826222101fc;APPROVED;2020-03-17T07:41:22.839
Её сестра была счастлива.;Её сестра получила развод.;Женщина восхищалась своей сестрой.;Что стало причиной этого?;0;;0000b4a8a2--5e707f22889638012733ca56;0000b4a8a2--5e707d5a1fcfde011aac093a;0911cb7c42db62f52ac88826222101fc;APPROVED;2020-03-17T07:41:22.839
Я надел фартук.;Я сменил рубашку.;Я пролил вино на рубашку.;Что случилось в результате?;1;;0000b4a8a2--5e707f22889638012733ca56;0000b4a8a2--5e707d5a1fcfde011aac093a;0911cb7c42db62f52ac88826222101fc;APPROVED;2020-03-17T07:41:22.839
Клиент копался в своём бумажнике.;Клиент передал ей деньги.;Кассирша открыла кассовый аппарат.;Что стало причиной этого?;1;;0000b4a8a2--5e707f22889638012733ca56;0000b4a8a2--5e707d5a1fcfde011aac093a;0911cb7c42db62f52ac88826222101fc;APPROVED;2020-03-17T07:41:22.839
Люди давали ему мелочь.;Он послал толпу подальше.;Уличный музыкант привлёк толпу.;Что случилось в результате?;0;;0000b4a8a2--5e707f22889638012733ca56;0000b4a8a2--5e707d5a1fcfde011aac093a;0911cb7c42db62f52ac88826222101fc;APPROVED;2020-03-17T07:41:22.839
Спасатель прыгнул вслед за ним.;Мужчина обрызгал спасателя.;"Мужчина рухнул в бассейн ""бомбочкой"".";Что случилось в результате?;1;;0000b4a8a2--5e707f22c4749501278d3b35;0000b4a8a2--5e707d5a1fcfde011aac08e8;66990b99882c77f7d55b8ad8970c63c4;APPROVED;2020-03-17T07:41:22.796
Моя инфекция прошла.;Моя инфекция начала распространяться.;Я принимала антибиотики.;Что случилось в результате?;0;;0000b4a8a2--5e707f22c4749501278d3b35;0000b4a8a2--5e707d5a1fcfde011aac08e8;66990b99882c77f7d55b8ad8970c63c4;APPROVED;2020-03-17T07:41:22.796
Водитель нажал на тормоза.;Водитель посигналил.;На светофоре загорелся жёлтый.;Что случилось в результате?;0;;0000b4a8a2--5e707f22c4749501278d3b35;0000b4a8a2--5e707d5a1fcfde011aac08e8;66990b99882c77f7d55b8ad8970c63c4;APPROVED;2020-03-17T07:41:22.796
Я замочил контейнер в тёплой воде.;Я оставил контейнер на горячей плите.;Пластиковый контейнер расплавился.;Что стало причиной этого?;1;;0000b4a8a2--5e707f22c4749501278d3b35;0000b4a8a2--5e707d5a1fcfde011aac08e8;66990b99882c77f7d55b8ad8970c63c4;APPROVED;2020-03-17T07:41:22.796
Водитель врезался в столб.;Водитель проехал на красный свет.;Автомобиль получил вмятину.;Что стало причиной этого?;0;;0000b4a8a2--5e707f22c4749501278d3b35;0000b4a8a2--5e707d5a1fcfde011aac08e8;66990b99882c77f7d55b8ad8970c63c4;APPROVED;2020-03-17T07:41:22.796
Она играла в шашки.;Она прыгала через верёвочку.;У девочки кончились силы.;Что стало причиной этого?;1;;0000b4a8a2--5e707f239df9dc0126bc6219;0000b4a8a2--5e707d5a1fcfde011aac0942;5d7b893ce116e6e8adaafdc13510ecb5;APPROVED;2020-03-17T07:41:23.954
В очередь встало больше людей.;Она уходила из очереди.;Женщина потеряла своё место в очереди.;Что стало причиной этого?;1;;0000b4a8a2--5e707f239df9dc0126bc6219;0000b4a8a2--5e707d5a1fcfde011aac0942;5d7b893ce116e6e8adaafdc13510ecb5;APPROVED;2020-03-17T07:41:23.954
Ребёнок пускал слюни на её нагрудник.;Ребёнок испачкал памперс.;Девушка зажала нос.;Что стало причиной этого?;1;;0000b4a8a2--5e707f239df9dc0126bc6219;0000b4a8a2--5e707d5a1fcfde011aac0942;5d7b893ce116e6e8adaafdc13510ecb5;APPROVED;2020-03-17T07:41:23.954
Зрители хлопали в такт музыке.;Публика вежливо слушала и молчала.;Группа исполнила свой хит.;Что случилось в результате?;0;;0000b4a8a2--5e707f239df9dc0126bc6219;0000b4a8a2--5e707d5a1fcfde011aac0942;5d7b893ce116e6e8adaafdc13510ecb5;APPROVED;2020-03-17T07:41:23.954
Девушка осталась после уроков в качестве наказания.;Девушка принесла учителю яблоко.;Девушка хотела поблагодарить своего учителя по математике.;Что случилось в результате?;1;;0000b4a8a2--5e707f239df9dc0126bc6219;0000b4a8a2--5e707d5a1fcfde011aac0942;5d7b893ce116e6e8adaafdc13510ecb5;APPROVED;2020-03-17T07:41:23.954
Я приложила лёд.;Я втирала в неё лосьон.;Моя лодыжка распухла.;Что случилось в результате?;0;;0000b4a8a2--5e707f2432ecfe0128be7eab;0000b4a8a2--5e707d5a1fcfde011aac08e1;b152ea83eb5f5b8892142b96a76b0e5e;APPROVED;2020-03-17T07:41:24.292
Я разговаривал с коллегой у стола.;Я слышал, о чём говорили в зале.;Дверь моего кабинета была открыта.;Что случилось в результате?;1;;0000b4a8a2--5e707f2432ecfe0128be7eab;0000b4a8a2--5e707d5a1fcfde011aac08e1;b152ea83eb5f5b8892142b96a76b0e5e;APPROVED;2020-03-17T07:41:24.292
Я занял место.;Я просмотрел журнал.;Мне пришлось ждать в очереди.;Что случилось в результате?;1;;0000b4a8a2--5e707f2432ecfe0128be7eab;0000b4a8a2--5e707d5a1fcfde011aac08e1;b152ea83eb5f5b8892142b96a76b0e5e;APPROVED;2020-03-17T07:41:24.292
Муха с жужжанием улетела прочь.;Муха осталась на месте.;Мужчина замахнулся на муху.;Что случилось в результате?;0;;0000b4a8a2--5e707f2432ecfe0128be7eab;0000b4a8a2--5e707d5a1fcfde011aac08e1;b152ea83eb5f5b8892142b96a76b0e5e;APPROVED;2020-03-17T07:41:24.292
Он умирал.;Он был вдовец.;Мужчина написал завещание.;Что стало причиной этого?;0;;0000b4a8a2--5e707f2432ecfe0128be7eab;0000b4a8a2--5e707d5a1fcfde011aac08e1;b152ea83eb5f5b8892142b96a76b0e5e;APPROVED;2020-03-17T07:41:24.292
Спасатель прыгнул вслед за ним.;Мужчина обрызгал спасателя.;"Мужчина рухнул в бассейн ""бомбочкой"".";Что случилось в результате?;1;;0000b4a8a2--5e707f2432ecfe0128be7eaf;0000b4a8a2--5e707d5a1fcfde011aac08e8;b40a9318acfc69b0086459d7671a2355;APPROVED;2020-03-17T07:41:24.886
Моя инфекция прошла.;Моя инфекция начала распространяться.;Я принимала антибиотики.;Что случилось в результате?;0;;0000b4a8a2--5e707f2432ecfe0128be7eaf;0000b4a8a2--5e707d5a1fcfde011aac08e8;b40a9318acfc69b0086459d7671a2355;APPROVED;2020-03-17T07:41:24.886
Водитель нажал на тормоза.;Водитель посигналил.;На светофоре загорелся жёлтый.;Что случилось в результате?;0;;0000b4a8a2--5e707f2432ecfe0128be7eaf;0000b4a8a2--5e707d5a1fcfde011aac08e8;b40a9318acfc69b0086459d7671a2355;APPROVED;2020-03-17T07:41:24.886
Я замочил контейнер в тёплой воде.;Я оставил контейнер на горячей плите.;Пластиковый контейнер расплавился.;Что стало причиной этого?;1;;0000b4a8a2--5e707f2432ecfe0128be7eaf;0000b4a8a2--5e707d5a1fcfde011aac08e8;b40a9318acfc69b0086459d7671a2355;APPROVED;2020-03-17T07:41:24.886
Водитель врезался в столб.;Водитель проехал на красный свет.;Автомобиль получил вмятину.;Что стало причиной этого?;0;;0000b4a8a2--5e707f2432ecfe0128be7eaf;0000b4a8a2--5e707d5a1fcfde011aac08e8;b40a9318acfc69b0086459d7671a2355;APPROVED;2020-03-17T07:41:24.886
Она отложила яйца.;Она взлетела.;Птица взмахнула крыльями.;Что случилось в результате?;1;;0000b4a8a2--5e707f24c295960123133bd2;0000b4a8a2--5e707d5a1fcfde011aac08f8;2ce806fcfcdd032306750aa0bd98cf27;APPROVED;2020-03-17T07:41:24.785
Гараж был открыт.;Гараж был полон.;Я припарковался на подъездной дорожке.;Что стало причиной этого?;1;;0000b4a8a2--5e707f24c295960123133bd2;0000b4a8a2--5e707d5a1fcfde011aac08f8;2ce806fcfcdd032306750aa0bd98cf27;APPROVED;2020-03-17T07:41:24.785
Преступник опустил пистолет.;Потерпевший поднял руки вверх.;Преступник направил пистолет на потерпевшего.;Что случилось в результате?;1;;0000b4a8a2--5e707f24c295960123133bd2;0000b4a8a2--5e707d5a1fcfde011aac08f8;2ce806fcfcdd032306750aa0bd98cf27;APPROVED;2020-03-17T07:41:24.785
Я планировал присутствовать на похоронах моего дяди.;Я планировал присутствовать на свадьбе моего друга.;Я с нетерпением ждал выходных.;Что стало причиной этого?;1;;0000b4a8a2--5e707f24c295960123133bd2;0000b4a8a2--5e707d5a1fcfde011aac08f8;2ce806fcfcdd032306750aa0bd98cf27;APPROVED;2020-03-17T07:41:24.785
Я замечтался.;Меня мутило.;Я потерял счёт времени.;Что стало причиной этого?;0;;0000b4a8a2--5e707f24c295960123133bd2;0000b4a8a2--5e707d5a1fcfde011aac08f8;2ce806fcfcdd032306750aa0bd98cf27;APPROVED;2020-03-17T07:41:24.785
Они были спелые.;Я поливала их.;Я собрала помидоры с куста.;Что стало причиной этого?;0;;0000b4a8a2--5e707f24c83df801277af140;0000b4a8a2--5e707d5a1fcfde011aac0915;764d9649d47636b6eaead32f0c0a105e;APPROVED;2020-03-17T07:41:24.213
Он пригласил свою бывшую девушку на обед.;Он купил подруге конфет.;Мужчина хотел быть романтичным.;Что случилось в результате?;1;;0000b4a8a2--5e707f24c83df801277af140;0000b4a8a2--5e707d5a1fcfde011aac0915;764d9649d47636b6eaead32f0c0a105e;APPROVED;2020-03-17T07:41:24.213
Я уронила градусник.;За окном становилось теплее.;Ртуть в градуснике поднялась.;Что стало причиной этого?;1;;0000b4a8a2--5e707f24c83df801277af140;0000b4a8a2--5e707d5a1fcfde011aac0915;764d9649d47636b6eaead32f0c0a105e;APPROVED;2020-03-17T07:41:24.213
Крыши со зданий сорвало.;Гололёд сделал трассы опасными.;Через город прошёл торнадо.;Что случилось в результате?;0;;0000b4a8a2--5e707f24c83df801277af140;0000b4a8a2--5e707d5a1fcfde011aac0915;764d9649d47636b6eaead32f0c0a105e;APPROVED;2020-03-17T07:41:24.213
Его оценки улучшились.;Он жульничал на экзамене.;Студент нанял репетитора.;Что случилось в результате?;0;;0000b4a8a2--5e707f24c83df801277af140;0000b4a8a2--5e707d5a1fcfde011aac0915;764d9649d47636b6eaead32f0c0a105e;APPROVED;2020-03-17T07:41:24.213
Я приложила лёд.;Я втирала в неё лосьон.;Моя лодыжка распухла.;Что случилось в результате?;0;;0000b4a8a2--5e707f25e369f101187a1764;0000b4a8a2--5e707d5a1fcfde011aac08e1;629cfef5c6b2c2ae0fcf39c39603bb13;APPROVED;2020-03-17T07:41:25.979
Я разговаривал с коллегой у стола.;Я слышал, о чём говорили в зале.;Дверь моего кабинета была открыта.;Что случилось в результате?;1;;0000b4a8a2--5e707f25e369f101187a1764;0000b4a8a2--5e707d5a1fcfde011aac08e1;629cfef5c6b2c2ae0fcf39c39603bb13;APPROVED;2020-03-17T07:41:25.979
